id,set_id,localId,name,set_name,grade,price,sold_date,title,set_phrase_from_title,set_match_name,set_match_score
me03-093,me03,93,Dedenne,Perfect Order,ACE 10,£42.00,Sold 7 Jun 2026,ACE 10 - Dedenne - 093/088 - Perfect Order - Pokémon TCG - Perfect Subgrades,- Perfect Order -,Perfect Order,1.0
me02.5-280,me02.5,280,Lillie's Clefairy ex,Ascended Heroes,ACE 10,£197.26,Sold 7 Jun 2026,Lillie’s Clefairy Ex 280/217 Ascended Heroes SIR ACE 10 Perfect subs Pokémon tcg,Ascended Heroes SIR ACE,Ascended Heroes,0.789
me03-120,me03,120,Mega Zygarde ex,Perfect Order,ACE 10,£99.99,Sold 7 Jun 2026,Pokémon TCG Mega Zygarde ex 120/088 Perfect Order Ace 10 PERFECT SUBGRADES,Perfect Order Ace 10,Perfect Order,0.788
me02-106,me02,106,Meowth,Phantasmal Flames,ACE 9,£37.10,Sold 7 Jun 2026,Pokemon TCG Meowth 106/094 Phantasmal Flames Illustration Rare Ace 9,Phantasmal Flames Illustration Rare,Phantasmal Flames,0.654
me02.5-278,me02.5,278,Mega Eelektross ex,Ascended Heroes,ACE 10,£42.04,Sold 7 Jun 2026,Pokémon TCG Mega Eelektross Ex SIR 278/217 Ascended Heroes ACE 10 ENGLISH,Ascended Heroes ACE 10,Ascended Heroes,0.811
sm115-68,sm115,68,Jessie & James,Hidden Fates,ACE 10,£82.00,Sold 7 Jun 2026,🚀🔥 Pokémon TCG – Jessie & James 68/68 FA – Hidden Fates – ACE 10 GEM MINT 🔥🚀,FA – Hidden Fates,Hidden Fates,0.857
sv05-193,sv05,193,Gengar ex,Temporal Forces,ACE 10,£104.08,Sold 7 Jun 2026,Pokemon Gengar EX 193/162 Temporal Forces Ace 10 (Perfect Sub Grades) Full Art,Temporal Forces Ace 10,Temporal Forces,0.811
me02-106,me02,106,Meowth,Phantasmal Flames,ACE 10,£66.08,Sold 7 Jun 2026,Pokémon TCG Meowth 106/094 Illustration Rare Phantasmal Flames ACE 10 😸,Illustration Rare Phantasmal Flames,Phantasmal Flames,0.654
sv07-148,sv07,148,Squirtle,Stellar Crown,ACE 10,£140.00,Sold 7 Jun 2026,Pokémon TCG Squirtle 148/142 S&V Stellar Crown ACE 10,S&V Stellar Crown ACE,Stellar Crown,0.788
swsh12.5-GG41,swsh12.5,GG41,Raikou V,Crown Zenith,ACE 9,£42.30,Sold 7 Jun 2026,Pokémon TCG Raikou V GG41/GG70 Crown Zenith Sword & Shield ACE 9 Mint,Crown Zenith Sword &,Crown Zenith,0.8
me02.5-269,me02.5,269,Mega Gengar ex,Ascended Heroes,ACE 10,£115.10,Sold 7 Jun 2026,Mega Gengar EX 269/217 Ascended Heroes Mega Attack Rare Ace 10,Ascended Heroes Mega Attack,Ascended Heroes,0.714
swsh10-TG13,swsh10,TG13,Starmie V,Astral Radiance,ACE 10,£154.99,Sold 7 Jun 2026,Starmie v TG13/TG30 Swsh10 Astral Radiance Trainer Gallery Holo Ace 10,Swsh10 Astral Radiance Trainer,Astral Radiance,0.667
me02.5-280,me02.5,280,Lillie's Clefairy ex,Ascended Heroes,ACE 10,£199.99,Sold 7 Jun 2026,Lillie’s Clefairy Ex 280/217 Ascended Heroes SIR ACE 10 Perfect Subgrades,Ascended Heroes SIR ACE,Ascended Heroes,0.789
ex11-8,ex11,8,Latias δ,Delta Species,ACE 9,£475.90,Sold 7 Jun 2026,Gyarados Holon Phantoms 8/110 Holo Rare 2006 Delta Species Ace9 Strong clean9,Holo Rare Delta Species,Delta Species,0.722
me02-100,me02,100,Zacian,Phantasmal Flames,ACE 10,£31.90,Sold 7 Jun 2026,Pokémon TCG Zacian 100/094 Phantasmal Flames Ace 10 Gem Mint,Phantasmal Flames Ace 10,Phantasmal Flames,0.829
cel25-5,cel25,5,Pikachu,Celebrations,ACE 8,£12.07,Sold 7 Jun 2026,Pokémon Pikachu TCG Holo Full Art Rare Card 005/025 2021 Celebrations Ace 8,Celebrations Ace 8,Celebrations,0.8
sv10-234,sv10,234,Team Rocket's Crobat ex,Destined Rivals,ACE 10,£47.50,Sold 7 Jun 2026,Team Rockets Crobat 234/182 Destined Rivals ACE 10 Gem Mint Perfect 10s Pokemon,Destined Rivals ACE 10,Destined Rivals,0.811
me02.5-244,me02.5,244,Cynthia's Spiritomb,Ascended Heroes,ACE 10,£41.04,Sold 7 Jun 2026,Pokemon TCG: ACE 10 Cynthia’s Spiritomb 244/217 Ascended Heroes Perfect Subs,Ascended Heroes Perfect Subs,Ascended Heroes,0.698
sv10-193,sv10,193,Misty's Psyduck,Destined Rivals,ACE 9,£50.40,Sold 7 Jun 2026,Pokémon TCG Misty's Psyduck 193/182 Destined Rivals ACE 9 Mint,Destined Rivals ACE 9,Destined Rivals,0.833
me01-152,me01,152,Delibird,Mega Evolution,ACE 10,£23.04,Sold 7 Jun 2026,Delibird Illustration Rare 152/132 Mega Evolution- ACE 10 Gem Mint,Mega Evolution- ACE 10,Mega Evolution,0.8
swsh10.5-066,swsh10.5,66,Egg Incubator,Pokémon GO,ACE 9,£16.63,Sold 7 Jun 2026,Houndoom - Art Rare - Night Wanderer - 066/064 - Pokémon TCG - ACE 9 - MINT,- Pokémon TCG -,Pokémon GO,0.842
