id,name,localId,category,rarity,set_id,set_name,set_series,artist,illustrator,hp,types,stage,attack_count,attacks_json,weaknesses_json,resistances_json,retreat,regulation_mark,image_small,image_high,variants_json,cardmarket_url,cardmarket_updated_at,cardmarket_avg1,cardmarket_avg7,cardmarket_avg30,cardmarket_low_price,cardmarket_trend,cardmarket_reverse_holo_sell,cardmarket_reverse_holo_low,cardmarket_reverse_holo_trend,tcgplayer_updated_at,tcgplayer_prices_json,cardmarket_updated_at,cardmarket_avg,cardmarket_low,cardmarket_trend,cardmarket_avg1,cardmarket_avg7,cardmarket_avg30,cardmarket_avg_holo,cardmarket_low_holo,cardmarket_trend_holo,normal_market,reverse_market,holo_market,raw_estimate,ace8_estimate,ace9_estimate,ace10_estimate
exu-!,Unown,!,Pokemon,Rare,exu,Unseen Forces Unown Collection,,,Kyoko Koizumi,60,Psychic,Basic,1,"[{""cost"": [""Colorless""], ""name"": ""Hidden Power"", ""effect"": ""Flip a coin. If heads, put 2 damage counters on 1 of your opponent's Pok\u00e9mon. If tails, put 2 damage counters on 1 of your Pok\u00e9mon.""}]","[{""type"": ""Psychic"", ""value"": ""\u00d72""}]",[],1,,,,"{""firstEdition"": false, ""holo"": true, ""normal"": false, ""reverse"": false, ""wPromo"": false}",,,,,,,,,,,,{},,,,,,,,,,,,,,,,,
exu-%3F,Unown,%3F,Pokemon,Rare,exu,Unseen Forces Unown Collection,,,Kyoko Koizumi,60,Psychic,Basic,1,"[{""cost"": [""Colorless""], ""name"": ""Hidden Power"", ""effect"": ""Choose a card from your hand and put it face down. Your opponent guesses if that card is a Pok\u00e9mon, Trainer, or Energy card. Reveal the card. If your opponent guessed wrong, draw 2 cards. Put the card back into your hand.""}]","[{""type"": ""Psychic"", ""value"": ""\u00d72""}]",[],1,,,,"{""firstEdition"": false, ""holo"": true, ""normal"": false, ""reverse"": false, ""wPromo"": false}",,,,,,,,,,,,{},,,,,,,,,,,,,,,,,
xy1-1,Venusaur EX,1,Pokemon,Ultra Rare,xy1,XY,,,Eske Yoshinob,180,Grass,Basic,2,"[{""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""name"": ""Poison Powder"", ""effect"": ""Your opponent's Active Pok\u00e9mon is now Poisoned."", ""damage"": 60}, {""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""name"": ""Jungle Hammer"", ""effect"": ""Heal 30 damage from this Pok\u00e9mon."", ""damage"": 90}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],4,,https://assets.tcgdex.net/en/xy/xy1/1/low.png,https://assets.tcgdex.net/en/xy/xy1/1/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,6.98,6.93,6.88,1.5,6.67,,,,,{},2026-05-30T00:47:09.000Z,7.42,1.5,6.67,6.98,6.93,6.88,,,4.37,,,,6.88,,,
swsh8-1,Caterpie,1,Pokemon,Common,swsh8,Fusion Strike,,,Mitsuhiro Arita,50,Grass,Basic,2,"[{""cost"": [""Colorless""], ""name"": ""Flock"", ""effect"": ""Search your deck for a Caterpie and put it onto your Bench. Then, shuffle your deck.""}, {""cost"": [""Grass""], ""name"": ""Bug Bite"", ""damage"": 10}]",[],[],1,E,https://assets.tcgdex.net/en/swsh/swsh8/1/low.png,https://assets.tcgdex.net/en/swsh/swsh8/1/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": true, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.07,0.06,0.05,0.02,0.05,,,,,{},2026-05-30T00:47:09.000Z,0.05,0.02,0.05,0.07,0.06,0.05,0.22,0.02,0.19,,,,0.05,,,
swsh6-1,Weedle,1,Pokemon,Common,swsh6,Chilling Reign,,,Sanosuke Sakuma,40,Grass,Basic,1,"[{""cost"": [""Grass""], ""name"": ""Pierce"", ""damage"": 20}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],1,E,https://assets.tcgdex.net/en/swsh/swsh6/1/low.png,https://assets.tcgdex.net/en/swsh/swsh6/1/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": true, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.05,0.03,0.03,0.02,0.04,,,,,{},2026-05-30T00:47:09.000Z,0.03,0.02,0.04,0.05,0.03,0.03,0.23,0.02,0.26,,,,0.03,,,
swsh3.5-1,Venusaur V,1,Pokemon,Holo Rare V,swsh3.5,Champion's Path,,,PLANETA Mochizuki,220,Grass,Basic,2,"[{""cost"": [""Grass"", ""Grass"", ""Colorless""], ""name"": ""Pollen Bomb"", ""effect"": ""Your opponent's Active Pok\u00e9mon is now Asleep and Poisoned."", ""damage"": 80}, {""cost"": [""Grass"", ""Grass"", ""Grass"", ""Colorless""], ""name"": ""Solar Typhoon"", ""effect"": ""During your next turn, this Pok\u00e9mon can't use Solar Typhoon."", ""damage"": 220}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],3,D,https://assets.tcgdex.net/en/swsh/swsh3.5/1/low.png,https://assets.tcgdex.net/en/swsh/swsh3.5/1/high.png,"{""firstEdition"": false, ""holo"": true, ""normal"": false, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,2.6,3.03,3.1,1.25,3.17,,,,,{},2026-05-30T00:47:09.000Z,3.18,1.25,3.17,2.6,3.03,3.1,,,2.88,,,,3.1,,,
fut2020-1,Pikachu on the Ball,1,Pokemon,None,fut2020,Pokémon Futsal 2020,,,The Pokémon Company Art Team,60,,Basic,2,"[{""cost"": [""Colorless""], ""name"": ""Tail Whap"", ""damage"": 10}, {""cost"": [""Lightning"", ""Lightning"", ""Colorless""], ""name"": ""Lightning Shot"", ""effect"": ""Flip a coin. If tails, this attack does nothing."", ""damage"": 120}]","[{""type"": ""Fighting"", ""value"": ""\u00d72""}]",[],1,D,https://assets.tcgdex.net/en/swsh/fut2020/1/low.png,https://assets.tcgdex.net/en/swsh/fut2020/1/high.png,"{""firstEdition"": false, ""holo"": true, ""normal"": false, ""reverse"": false, ""wPromo"": false}",,,,,,,,,,,,{},,,,,,,,,,,,,,,,109.9,280.85
swsh12.5-001,Oddish,1,Pokemon,Common,swsh12.5,Crown Zenith,,,,50,Grass,Basic,1,"[{""cost"": [""Colorless""], ""name"": ""Leaf Boomerang"", ""effect"": ""Flip 2 coins. This attack does 10 damage for each heads."", ""damage"": ""10\u00d7""}]",[],[],1,F,https://assets.tcgdex.net/en/swsh/swsh12.5/001/low.png,https://assets.tcgdex.net/en/swsh/swsh12.5/001/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": true, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.08,0.03,0.04,0.02,0.03,,,,,{},2026-05-30T00:47:09.000Z,0.04,0.02,0.03,0.08,0.03,0.04,0.38,0.08,0.43,,,,0.04,,,
swsh9-001,Exeggcute,1,Pokemon,Common,swsh9,Brilliant Stars,,,,50,Grass,Basic,2,"[{""cost"": [""Colorless""], ""name"": ""Ram"", ""damage"": 10}, {""cost"": [""Grass"", ""Colorless""], ""name"": ""Seed Bomb"", ""damage"": 20}]",[],[],1,F,https://assets.tcgdex.net/en/swsh/swsh9/001/low.png,https://assets.tcgdex.net/en/swsh/swsh9/001/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": true, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.02,0.03,0.03,0.02,0.04,,,,,{},2026-05-30T00:47:09.000Z,0.03,0.02,0.04,0.02,0.03,0.03,0.14,0.02,0.12,,,,0.03,,,
swsh4.5-1,Yanma,1,Pokemon,Common,swsh4.5,Shining Fates,,,Kouki Saitou,80,Grass,Basic,2,"[{""cost"": [""Grass""], ""name"": ""Tackle"", ""damage"": 10}, {""cost"": [""Grass"", ""Colorless""], ""name"": ""Wing Attack"", ""damage"": 30}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],1,E,https://assets.tcgdex.net/en/swsh/swsh4.5/1/low.png,https://assets.tcgdex.net/en/swsh/swsh4.5/1/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": true, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.02,0.03,0.03,0.02,0.06,,,,,{},2026-05-30T00:47:09.000Z,0.03,0.02,0.06,0.02,0.03,0.03,0.11,0.02,0.14,,,,0.03,,,
